baratheon	greyjoy	lannister	martell	stark	targaryen	tyrell	time	episode	season
0	0	0	0	0	0	0	7	8	1
0	0	2	0	0	0	0	8	8	1
1	0	1	0	1	0	0	9	8	1
0	0	0	0	1	0	0	10	8	1
0	0	0	0	0	2	0	11	8	1
1	0	1	0	0	0	0	12	8	1
1	0	2	0	1	0	0	13	8	1
0	0	1	0	2	0	0	14	8	1
0	0	1	0	0	0	0	15	8	1
0	0	0	0	0	0	0	16	8	1
0	0	0	0	1	0	0	17	8	1
0	0	0	0	0	0	0	18	8	1
0	0	0	0	0	0	0	19	8	1
0	0	3	0	0	0	0	20	8	1
0	0	4	0	0	0	0	21	8	1
0	0	0	0	0	0	0	22	8	1
0	0	0	0	0	0	0	23	8	1
0	0	0	0	0	0	0	24	8	1
0	0	0	0	0	0	0	25	8	1
0	0	0	0	0	0	0	26	8	1
0	0	0	0	0	0	0	27	8	1
0	0	0	0	0	1	0	28	8	1
0	0	0	0	0	1	0	29	8	1
0	0	0	0	0	0	0	30	8	1
0	0	0	0	0	0	0	31	8	1
0	0	0	0	0	0	0	32	8	1
0	0	0	0	0	0	0	33	8	1
0	0	0	0	0	0	0	34	8	1
0	0	0	0	0	0	0	35	8	1
0	0	0	0	0	0	0	36	8	1
0	1	0	0	3	0	0	37	8	1
0	0	0	0	0	0	0	38	8	1
0	0	0	0	0	0	0	39	8	1
0	0	0	0	0	1	0	40	8	1
0	0	2	0	1	0	0	41	8	1
0	0	1	0	2	0	0	42	8	1
0	0	0	0	1	0	0	43	8	1
0	0	2	0	0	0	0	44	8	1
0	0	2	0	0	0	0	45	8	1
0	0	2	0	0	0	0	46	8	1
1	0	3	0	3	0	0	47	8	1
0	0	1	0	1	0	0	48	8	1
0	0	2	0	0	0	0	49	8	1
0	0	2	0	1	0	0	50	8	1
0	0	1	0	1	0	0	51	8	1
0	0	0	0	0	0	0	52	8	1
0	0	2	0	1	0	0	53	8	1
0	0	1	0	0	0	0	54	8	1
0	0	0	0	0	0	0	55	8	1
0	0	0	0	1	0	0	56	8	1
3	0	0	0	0	0	0	57	8	1
0	0	0	0	0	0	0	58	8	1
0	0	0	0	0	0	0	59	8	1
0	0	0	0	0	0	0	0	9	1
0	0	0	0	0	0	0	1	9	1
0	0	0	0	0	0	0	2	9	1
