time	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
303	2	2	13	0	8	4	16	2	7	0
304	0	0	0	0	1	0	2	0	0	0
305	2	2	13	1	10	2	20	0	12	2
306	2	4	8	2	3	2	11	0	5	1
307	1	2	11	1	3	2	14	0	10	0
308	2	7	16	1	9	6	29	3	3	1
309	1	2	10	1	5	3	10	0	10	0
310	4	0	4	0	5	3	18	1	4	1
311	0	2	1	0	1	0	8	0	1	0
312	0	0	4	0	1	1	8	1	5	0
313	0	1	10	0	7	1	14	0	5	0
314	0	1	2	0	3	1	17	1	4	0
315	1	1	8	0	8	2	16	0	5	0
316	4	7	13	2	8	5	27	1	7	0
317	2	0	10	0	10	2	8	1	5	0
318	0	6	11	1	3	1	18	0	13	1
319	0	0	4	1	11	1	14	1	9	2
320	0	2	6	0	3	0	17	1	4	0
321	1	1	13	0	4	1	17	0	4	0
322	2	5	19	1	7	1	11	0	6	1
323	1	2	16	0	9	2	23	1	8	0
324	5	6	14	0	5	3	20	3	10	4
325	2	7	11	3	5	2	23	2	10	0
326	1	0	8	1	2	2	20	1	7	0
327	2	2	6	0	5	2	10	1	4	0
328	0	0	4	0	1	0	2	0	0	0
329	1	6	13	0	12	1	15	0	5	0
330	0	0	2	0	2	0	0	0	1	0
331	2	3	3	0	7	3	13	1	2	0
332	0	2	3	0	0	0	5	0	3	0
333	3	4	8	1	1	3	15	0	8	0
334	1	1	2	1	2	0	1	0	0	0
335	1	0	10	0	6	0	13	0	4	0
336	5	6	10	0	9	3	19	0	4	0
337	2	1	4	0	3	2	8	0	4	0
338	5	4	3	0	5	4	12	0	4	0
339	0	2	6	4	4	0	14	0	9	1
340	1	2	5	0	1	2	7	1	2	0
341	0	2	4	4	6	0	20	0	5	0
342	1	1	7	0	2	1	13	0	5	0
343	2	2	12	1	3	3	16	2	5	2
344	1	1	5	0	0	1	9	0	2	1
345	1	1	3	0	1	1	12	0	5	0
346	4	1	7	0	0	3	11	0	5	0
347	0	1	1	0	1	0	2	0	2	0
348	3	5	13	0	1	2	18	0	3	0
349	3	3	10	1	3	3	13	1	6	0
350	1	3	11	1	7	1	17	0	8	0
351	1	0	4	0	2	2	5	0	7	0
352	0	5	7	2	2	1	12	1	3	0
353	2	0	7	0	3	1	6	0	5	2
354	0	0	2	0	6	0	9	0	0	0
355	0	0	2	0	0	0	4	0	1	0
356	0	2	3	0	2	1	12	0	8	0
357	1	4	11	1	5	1	11	0	5	0
358	3	4	12	4	5	3	28	0	4	0
359	2	3	17	1	6	3	23	1	3	0
360	1	0	6	0	3	1	17	0	2	1
361	0	0	2	0	1	0	4	0	1	0
362	0	1	7	0	3	0	18	1	7	0
363	2	3	18	1	3	3	14	0	2	0
364	0	1	6	2	1	2	8	0	3	0
